,caseID,segment,dsc,hsdff_95,method
179,amos_0507,kidney_left,0.95,2.0,MRSegmentator
180,amos_0514,kidney_left,0.95,1.73,MRSegmentator
181,amos_0554,kidney_left,0.95,3.0,MRSegmentator
182,amos_0555,kidney_left,0.95,2.0,MRSegmentator
183,amos_0570,kidney_left,0.95,1.41,MRSegmentator
184,amos_0600,kidney_left,0.95,1.41,MRSegmentator
185,amos_0510,kidney_left,0.96,2.24,MRSegmentator
186,amos_0517,kidney_left,0.96,1.41,MRSegmentator
187,amos_0540,kidney_left,0.96,1.41,MRSegmentator
188,amos_0557,kidney_left,0.96,2.0,MRSegmentator
189,amos_0571,kidney_left,0.96,2.45,MRSegmentator
190,amos_0583,kidney_left,0.96,2.0,MRSegmentator
191,amos_0586,kidney_left,0.96,1.41,MRSegmentator
192,amos_0591,kidney_left,0.96,1.41,MRSegmentator
193,amos_0596,kidney_left,0.96,3.0,MRSegmentator
194,amos_0522,kidney_left,0.93,1.73,MRSegmentator
195,amos_0530,kidney_left,0.93,1.73,MRSegmentator
196,amos_0532,kidney_left,0.93,1.41,MRSegmentator
197,amos_0595,kidney_left,0.93,2.24,MRSegmentator
198,amos_0580,kidney_left,0.9,2.83,MRSegmentator
199,amos_0518,kidney_left,0.87,2.24,MRSegmentator
200,amos_0548,kidney_right,0.97,1.0,MRSegmentator
201,amos_0578,kidney_right,0.97,2.24,MRSegmentator
202,amos_0586,kidney_right,0.97,1.41,MRSegmentator
203,amos_0590,kidney_right,0.97,2.45,MRSegmentator
204,amos_0594,kidney_right,0.97,1.41,MRSegmentator
205,amos_0518,kidney_right,0.94,2.24,MRSegmentator
206,amos_0530,kidney_right,0.94,1.41,MRSegmentator
207,amos_0551,kidney_right,0.94,1.73,MRSegmentator
208,amos_0593,kidney_right,0.94,1.41,MRSegmentator
209,amos_0522,kidney_right,0.91,2.0,MRSegmentator
210,amos_0595,kidney_right,0.91,4.36,MRSegmentator
211,amos_0507,kidney_right,0.95,1.73,MRSegmentator
