,caseID,segment,dsc,hsdff_95,method
85,amos_0580,stomach,0.91,2.24,TotalSegmentatorMRI
86,amos_0584,stomach,0.91,1.73,TotalSegmentatorMRI
87,amos_0588,stomach,0.91,5.0,TotalSegmentatorMRI
88,amos_0518,stomach,0.88,4.24,TotalSegmentatorMRI
89,amos_0596,stomach,0.88,4.24,TotalSegmentatorMRI
90,amos_0514,stomach,0.85,6.4,TotalSegmentatorMRI
91,amos_0582,stomach,0.85,10.3,TotalSegmentatorMRI
92,amos_0585,stomach,0.85,3.0,TotalSegmentatorMRI
93,amos_0551,stomach,0.82,7.07,TotalSegmentatorMRI
94,amos_0578,stomach,0.76,29.36,TotalSegmentatorMRI
95,amos_0548,stomach,0.73,9.43,TotalSegmentatorMRI
96,amos_0555,stomach,0.92,2.45,TotalSegmentatorMRI
97,amos_0594,stomach,0.92,3.74,TotalSegmentatorMRI
98,amos_0599,stomach,0.92,1.41,TotalSegmentatorMRI
99,amos_0508,stomach,0.89,3.0,TotalSegmentatorMRI
100,amos_0522,stomach,0.89,2.24,TotalSegmentatorMRI
101,amos_0554,stomach,0.89,8.83,TotalSegmentatorMRI
102,amos_0591,stomach,0.89,2.83,TotalSegmentatorMRI
103,amos_0510,stomach,0.86,5.92,TotalSegmentatorMRI
104,amos_0571,stomach,0.86,3.74,TotalSegmentatorMRI
105,amos_0583,stomach,0.86,3.32,TotalSegmentatorMRI
106,amos_0507,stomach,0.83,7.81,TotalSegmentatorMRI
107,amos_0538,stomach,0.83,5.1,TotalSegmentatorMRI
108,amos_0587,stomach,0.83,4.9,TotalSegmentatorMRI
109,amos_0592,stomach,0.93,4.12,TotalSegmentatorMRI
110,amos_0589,stomach,0.9,2.24,TotalSegmentatorMRI
111,amos_0593,stomach,0.9,3.0,TotalSegmentatorMRI
112,amos_0517,stomach,0.87,5.74,TotalSegmentatorMRI
113,amos_0532,stomach,0.87,2.45,TotalSegmentatorMRI
114,amos_0590,stomach,0.87,7.28,TotalSegmentatorMRI
115,amos_0595,stomach,0.87,4.0,TotalSegmentatorMRI
116,amos_0600,stomach,0.87,14.59,TotalSegmentatorMRI
117,amos_0597,stomach,0.84,6.16,TotalSegmentatorMRI
118,amos_0530,stomach,0.81,4.69,TotalSegmentatorMRI
119,amos_0540,stomach,0.81,4.24,TotalSegmentatorMRI
120,amos_0540,pancreas,0.75,3.0,TotalSegmentatorMRI
121,amos_0587,pancreas,0.72,6.16,TotalSegmentatorMRI
122,amos_0600,pancreas,0.69,10.68,TotalSegmentatorMRI
123,amos_0541,pancreas,0.44,9.69,TotalSegmentatorMRI
124,amos_0554,pancreas,0.88,5.0,TotalSegmentatorMRI
125,amos_0590,pancreas,0.88,4.12,TotalSegmentatorMRI
126,amos_0548,pancreas,0.6,6.16,TotalSegmentatorMRI
127,amos_0582,pancreas,0.85,3.74,TotalSegmentatorMRI
128,amos_0508,pancreas,0.82,4.9,TotalSegmentatorMRI
129,amos_0580,pancreas,0.82,2.24,TotalSegmentatorMRI
130,amos_0507,pancreas,0.79,4.47,TotalSegmentatorMRI
131,amos_0522,pancreas,0.79,4.24,TotalSegmentatorMRI
132,amos_0538,pancreas,0.79,4.12,TotalSegmentatorMRI
133,amos_0571,pancreas,0.79,5.2,TotalSegmentatorMRI
134,amos_0589,pancreas,0.76,4.12,TotalSegmentatorMRI
135,amos_0594,pancreas,0.76,6.4,TotalSegmentatorMRI
136,amos_0583,pancreas,0.73,4.12,TotalSegmentatorMRI
137,amos_0532,pancreas,0.67,14.7,TotalSegmentatorMRI
138,amos_0595,pancreas,0.67,5.2,TotalSegmentatorMRI
139,amos_0593,pancreas,0.61,10.0,TotalSegmentatorMRI
140,amos_0584,pancreas,0.83,4.12,TotalSegmentatorMRI
141,amos_0588,pancreas,0.8,10.05,TotalSegmentatorMRI
142,amos_0596,pancreas,0.77,8.12,TotalSegmentatorMRI
143,amos_0517,pancreas,0.74,6.71,TotalSegmentatorMRI
144,amos_0530,pancreas,0.74,6.4,TotalSegmentatorMRI
145,amos_0551,pancreas,0.68,8.06,TotalSegmentatorMRI
146,amos_0578,pancreas,0.59,12.95,TotalSegmentatorMRI
147,amos_0555,pancreas,0.84,4.0,TotalSegmentatorMRI
148,amos_0591,pancreas,0.84,3.0,TotalSegmentatorMRI
149,amos_0592,pancreas,0.84,7.0,TotalSegmentatorMRI
150,amos_0599,pancreas,0.84,3.46,TotalSegmentatorMRI
151,amos_0514,pancreas,0.14,37.49,TotalSegmentatorMRI
152,amos_0570,pancreas,0.28,12.73,TotalSegmentatorMRI
153,amos_0510,pancreas,0.81,5.0,TotalSegmentatorMRI
154,amos_0585,pancreas,0.81,3.16,TotalSegmentatorMRI
155,amos_0586,pancreas,0.81,4.12,TotalSegmentatorMRI
156,amos_0597,pancreas,0.81,3.61,TotalSegmentatorMRI
157,amos_0518,pancreas,0.78,5.1,TotalSegmentatorMRI
158,amos_0557,pancreas,0.78,7.0,TotalSegmentatorMRI
159,amos_0558,pancreas,0.78,7.55,TotalSegmentatorMRI
160,amos_0578,gallbladder,,512.0,TotalSegmentatorMRI
161,amos_0585,gallbladder,,320.0,TotalSegmentatorMRI
162,amos_0522,gallbladder,0.0,320.0,TotalSegmentatorMRI
163,amos_0570,gallbladder,0.0,320.0,TotalSegmentatorMRI
164,amos_0587,gallbladder,0.0,320.0,TotalSegmentatorMRI
165,amos_0595,gallbladder,0.0,320.0,TotalSegmentatorMRI
166,amos_0541,gallbladder,0.69,5.2,TotalSegmentatorMRI
167,amos_0571,gallbladder,0.94,1.39,TotalSegmentatorMRI
168,amos_0580,gallbladder,0.91,2.0,TotalSegmentatorMRI
169,amos_0584,gallbladder,0.91,1.73,TotalSegmentatorMRI
170,amos_0555,gallbladder,0.88,2.24,TotalSegmentatorMRI
171,amos_0596,gallbladder,0.88,3.61,TotalSegmentatorMRI
172,amos_0590,gallbladder,0.85,15.0,TotalSegmentatorMRI
173,amos_0551,gallbladder,0.82,4.12,TotalSegmentatorMRI
174,amos_0510,gallbladder,0.79,6.0,TotalSegmentatorMRI
175,amos_0517,gallbladder,0.76,5.07,TotalSegmentatorMRI
176,amos_0588,gallbladder,0.92,2.45,TotalSegmentatorMRI
177,amos_0589,gallbladder,0.89,1.73,TotalSegmentatorMRI
178,amos_0593,gallbladder,0.86,4.0,TotalSegmentatorMRI
179,amos_0508,gallbladder,0.58,20.63,TotalSegmentatorMRI
180,amos_0518,gallbladder,0.83,6.16,TotalSegmentatorMRI
181,amos_0514,gallbladder,0.8,3.16,TotalSegmentatorMRI
182,amos_0538,gallbladder,0.8,3.32,TotalSegmentatorMRI
183,amos_0600,gallbladder,0.77,2.45,TotalSegmentatorMRI
184,amos_0530,gallbladder,0.74,4.0,TotalSegmentatorMRI
185,amos_0583,gallbladder,0.34,12.61,TotalSegmentatorMRI
186,amos_0591,gallbladder,0.93,1.41,TotalSegmentatorMRI
187,amos_0592,gallbladder,0.93,2.24,TotalSegmentatorMRI
188,amos_0554,gallbladder,0.9,3.32,TotalSegmentatorMRI
189,amos_0557,gallbladder,0.9,2.24,TotalSegmentatorMRI
190,amos_0586,gallbladder,0.9,2.0,TotalSegmentatorMRI
191,amos_0599,gallbladder,0.9,3.0,TotalSegmentatorMRI
192,amos_0540,gallbladder,0.62,3.0,TotalSegmentatorMRI
193,amos_0594,gallbladder,0.62,9.06,TotalSegmentatorMRI
194,amos_0597,gallbladder,0.87,2.0,TotalSegmentatorMRI
195,amos_0582,gallbladder,0.07,13.58,TotalSegmentatorMRI
196,amos_0532,gallbladder,0.81,2.45,TotalSegmentatorMRI
197,amos_0548,gallbladder,0.81,3.61,TotalSegmentatorMRI
198,amos_0507,gallbladder,0.78,2.24,TotalSegmentatorMRI
199,amos_0558,gallbladder,0.78,4.12,TotalSegmentatorMRI
200,amos_0507,kidney_left,0.94,2.24,TotalSegmentatorMRI
201,amos_0541,kidney_left,0.94,1.41,TotalSegmentatorMRI
202,amos_0548,kidney_left,0.94,1.41,TotalSegmentatorMRI
203,amos_0578,kidney_left,0.94,4.12,TotalSegmentatorMRI
204,amos_0583,kidney_left,0.94,1.41,TotalSegmentatorMRI
205,amos_0594,kidney_left,0.94,3.0,TotalSegmentatorMRI
206,amos_0540,kidney_left,0.91,2.24,TotalSegmentatorMRI
207,amos_0571,kidney_left,0.91,5.1,TotalSegmentatorMRI
208,amos_0588,kidney_left,0.91,3.0,TotalSegmentatorMRI
209,amos_0592,kidney_left,0.91,3.0,TotalSegmentatorMRI
210,amos_0600,kidney_left,0.91,2.24,TotalSegmentatorMRI
211,amos_0580,kidney_left,0.85,2.45,TotalSegmentatorMRI
212,amos_0518,kidney_left,0.41,14.29,TotalSegmentatorMRI
213,amos_0508,kidney_left,0.92,2.0,TotalSegmentatorMRI
214,amos_0555,kidney_left,0.92,2.24,TotalSegmentatorMRI
215,amos_0557,kidney_left,0.92,3.0,TotalSegmentatorMRI
216,amos_0590,kidney_left,0.92,3.16,TotalSegmentatorMRI
217,amos_0591,kidney_left,0.92,1.41,TotalSegmentatorMRI
218,amos_0593,kidney_left,0.92,2.24,TotalSegmentatorMRI
219,amos_0596,kidney_left,0.92,4.12,TotalSegmentatorMRI
220,amos_0597,kidney_left,0.92,1.41,TotalSegmentatorMRI
221,amos_0530,kidney_left,0.89,2.83,TotalSegmentatorMRI
222,amos_0532,kidney_left,0.89,2.24,TotalSegmentatorMRI
223,amos_0510,kidney_left,0.93,4.0,TotalSegmentatorMRI
224,amos_0514,kidney_left,0.93,2.0,TotalSegmentatorMRI
225,amos_0517,kidney_left,0.93,2.45,TotalSegmentatorMRI
226,amos_0538,kidney_left,0.93,1.73,TotalSegmentatorMRI
227,amos_0558,kidney_left,0.93,4.0,TotalSegmentatorMRI
228,amos_0582,kidney_left,0.93,1.41,TotalSegmentatorMRI
229,amos_0586,kidney_left,0.93,2.0,TotalSegmentatorMRI
230,amos_0587,kidney_left,0.93,1.41,TotalSegmentatorMRI
231,amos_0589,kidney_left,0.93,1.41,TotalSegmentatorMRI
232,amos_0599,kidney_left,0.93,2.0,TotalSegmentatorMRI
233,amos_0551,kidney_left,0.9,3.0,TotalSegmentatorMRI
234,amos_0554,kidney_left,0.9,3.61,TotalSegmentatorMRI
235,amos_0584,kidney_left,0.9,3.74,TotalSegmentatorMRI
236,amos_0585,kidney_left,0.9,2.83,TotalSegmentatorMRI
237,amos_0522,kidney_left,0.87,2.24,TotalSegmentatorMRI
238,amos_0570,kidney_left,0.87,3.16,TotalSegmentatorMRI
239,amos_0595,kidney_left,0.87,2.24,TotalSegmentatorMRI
240,amos_0570,kidney_right,0.0,60.67,TotalSegmentatorMRI
241,amos_0507,kidney_right,0.94,2.0,TotalSegmentatorMRI
242,amos_0517,kidney_right,0.94,2.0,TotalSegmentatorMRI
243,amos_0540,kidney_right,0.94,1.41,TotalSegmentatorMRI
244,amos_0557,kidney_right,0.94,3.16,TotalSegmentatorMRI
245,amos_0558,kidney_right,0.94,3.61,TotalSegmentatorMRI
246,amos_0583,kidney_right,0.94,1.41,TotalSegmentatorMRI
247,amos_0587,kidney_right,0.94,1.73,TotalSegmentatorMRI
248,amos_0588,kidney_right,0.94,2.83,TotalSegmentatorMRI
249,amos_0591,kidney_right,0.94,1.41,TotalSegmentatorMRI
250,amos_0597,kidney_right,0.94,1.41,TotalSegmentatorMRI
251,amos_0599,kidney_right,0.94,1.41,TotalSegmentatorMRI
252,amos_0530,kidney_right,0.91,2.83,TotalSegmentatorMRI
253,amos_0584,kidney_right,0.91,5.74,TotalSegmentatorMRI
254,amos_0538,kidney_right,0.95,1.41,TotalSegmentatorMRI
255,amos_0548,kidney_right,0.95,1.41,TotalSegmentatorMRI
256,amos_0554,kidney_right,0.95,2.24,TotalSegmentatorMRI
257,amos_0578,kidney_right,0.95,2.24,TotalSegmentatorMRI
258,amos_0582,kidney_right,0.95,1.41,TotalSegmentatorMRI
259,amos_0586,kidney_right,0.95,2.0,TotalSegmentatorMRI
260,amos_0589,kidney_right,0.95,1.41,TotalSegmentatorMRI
261,amos_0590,kidney_right,0.95,2.83,TotalSegmentatorMRI
262,amos_0592,kidney_right,0.95,2.24,TotalSegmentatorMRI
263,amos_0593,kidney_right,0.95,1.41,TotalSegmentatorMRI
264,amos_0594,kidney_right,0.95,2.0,TotalSegmentatorMRI
265,amos_0600,kidney_right,0.95,1.41,TotalSegmentatorMRI
266,amos_0508,kidney_right,0.92,2.0,TotalSegmentatorMRI
267,amos_0510,kidney_right,0.92,5.0,TotalSegmentatorMRI
268,amos_0532,kidney_right,0.92,2.24,TotalSegmentatorMRI
269,amos_0551,kidney_right,0.92,2.24,TotalSegmentatorMRI
270,amos_0514,kidney_right,0.93,2.83,TotalSegmentatorMRI
271,amos_0541,kidney_right,0.93,2.0,TotalSegmentatorMRI
272,amos_0555,kidney_right,0.93,2.83,TotalSegmentatorMRI
273,amos_0571,kidney_right,0.93,5.66,TotalSegmentatorMRI
274,amos_0580,kidney_right,0.93,4.47,TotalSegmentatorMRI
275,amos_0585,kidney_right,0.93,2.0,TotalSegmentatorMRI
276,amos_0596,kidney_right,0.93,3.61,TotalSegmentatorMRI
277,amos_0518,kidney_right,0.9,3.61,TotalSegmentatorMRI
278,amos_0522,kidney_right,0.9,2.0,TotalSegmentatorMRI
279,amos_0595,kidney_right,0.9,2.83,TotalSegmentatorMRI
280,amos_0538,adrenal_gland_left,0.0,18.47,TotalSegmentatorMRI
281,amos_0583,adrenal_gland_left,0.0,33.15,TotalSegmentatorMRI
282,amos_0584,adrenal_gland_left,0.18,5.74,TotalSegmentatorMRI
283,amos_0580,adrenal_gland_left,0.69,2.45,TotalSegmentatorMRI
284,amos_0587,adrenal_gland_left,0.11,9.12,TotalSegmentatorMRI
285,amos_0507,adrenal_gland_left,0.63,5.1,TotalSegmentatorMRI
286,amos_0585,adrenal_gland_left,0.63,2.45,TotalSegmentatorMRI
287,amos_0597,adrenal_gland_left,0.3,5.1,TotalSegmentatorMRI
288,amos_0590,adrenal_gland_left,0.82,2.0,TotalSegmentatorMRI
289,amos_0517,adrenal_gland_left,0.54,7.09,TotalSegmentatorMRI
290,amos_0551,adrenal_gland_left,0.51,11.69,TotalSegmentatorMRI
291,amos_0594,adrenal_gland_left,0.51,7.61,TotalSegmentatorMRI
292,amos_0532,adrenal_gland_left,0.49,3.32,TotalSegmentatorMRI
293,amos_0540,adrenal_gland_left,0.49,4.85,TotalSegmentatorMRI
294,amos_0591,adrenal_gland_left,0.49,4.12,TotalSegmentatorMRI
295,amos_0588,adrenal_gland_left,0.73,3.48,TotalSegmentatorMRI
296,amos_0599,adrenal_gland_left,0.73,2.18,TotalSegmentatorMRI
297,amos_0600,adrenal_gland_left,0.73,1.41,TotalSegmentatorMRI
298,amos_0557,adrenal_gland_left,0.7,3.32,TotalSegmentatorMRI
299,amos_0508,adrenal_gland_left,0.23,8.44,TotalSegmentatorMRI
300,amos_0514,adrenal_gland_left,0.01,23.82,TotalSegmentatorMRI
301,amos_0596,adrenal_gland_left,0.16,30.0,TotalSegmentatorMRI
302,amos_0548,adrenal_gland_left,0.32,3.35,TotalSegmentatorMRI
303,amos_0522,adrenal_gland_left,0.64,2.0,TotalSegmentatorMRI
304,amos_0571,adrenal_gland_left,0.61,4.12,TotalSegmentatorMRI
305,amos_0582,adrenal_gland_left,0.77,1.41,TotalSegmentatorMRI
306,amos_0589,adrenal_gland_left,0.37,4.45,TotalSegmentatorMRI
307,amos_0510,adrenal_gland_left,0.71,3.0,TotalSegmentatorMRI
308,amos_0530,adrenal_gland_left,0.34,4.12,TotalSegmentatorMRI
309,amos_0555,adrenal_gland_left,0.68,1.99,TotalSegmentatorMRI
310,amos_0593,adrenal_gland_left,0.68,2.45,TotalSegmentatorMRI
311,amos_0518,adrenal_gland_left,0.42,10.1,TotalSegmentatorMRI
312,amos_0558,adrenal_gland_left,0.59,7.28,TotalSegmentatorMRI
313,amos_0586,adrenal_gland_left,0.59,10.06,TotalSegmentatorMRI
314,amos_0578,adrenal_gland_left,0.56,7.1,TotalSegmentatorMRI
315,amos_0554,adrenal_gland_left,0.81,2.45,TotalSegmentatorMRI
316,amos_0541,adrenal_gland_left,0.39,6.5,TotalSegmentatorMRI
317,amos_0595,adrenal_gland_left,0.39,5.14,TotalSegmentatorMRI
318,amos_0570,adrenal_gland_left,0.53,3.16,TotalSegmentatorMRI
319,amos_0592,adrenal_gland_left,0.78,6.32,TotalSegmentatorMRI
